Abschnitt,Abteilung,Gruppe,Klasse,Art,Code,Name_de
"A","","","","","A","LAND- UND FORSTWIRTSCHAFT, FISCHEREI"
"","","","1412","","1412","Herstellung von Arbeits- und Berufsbekleidung"
"","","","","141200","141200","Herstellung von Arbeits- und Berufsbekleidung"
"","","","1413","","1413","Herstellung von sonstiger Oberbekleidung"
"","","","","141301","141301","Herstellung von Herren- und Knabenoberbekleidung"
"","","","","141302","141302","Herstellung von Damen- und Mädchenoberbekleidung"
"","","","","141303","141303","Herstellung von Oberbekleidung ohne ausgeprägten Schwerpunkt"
"","","","1414","","1414","Herstellung von Wäsche"
"","","","","141401","141401","Herstellung von Herren- und Knabenwäsche"
"","","","","141402","141402","Herstellung von Damen- und Mädchenwäsche"
"","","","","141403","141403","Herstellung von Wäsche ohne ausgeprägten Schwerpunkt"
"","","","1419","","1419","Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g."
"","","","","141900","141900","Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g."
"","","142","","","142","Herstellung von Pelzwaren"
"","","","1420","","1420","Herstellung von Pelzwaren"
"","","","","142000","142000","Herstellung von Pelzwaren"
"","","143","","","143","Herstellung von Bekleidung aus gewirktem und gestricktem Stoff"
"","","","1431","","1431","Herstellung von Strumpfwaren"
"","","","","143100","143100","Herstellung von Strumpfwaren"
"","","","1439","","1439","Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff"
"","","","","143900","143900","Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff"
"","15","","","","15","Herstellung von Leder, Lederwaren und Schuhen"
"","","151","","","151","Herstellung von Leder und Lederwaren (ohne Herstellung von Lederbekleidung)"
"","","","1511","","1511","Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen"
"","","","","151100","151100","Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen"
"","","","1512","","1512","Lederverarbeitung (ohne Herstellung von Lederbekleidung)"
"","","","","151200","151200","Herstellung von Reiseartikeln, Leder- und Sattlerwaren (ohne Herstellung von Lederbekleidung und Schuhen)"
"","","152","","","152","Herstellung von Schuhen"
"","","","1520","","1520","Herstellung von Schuhen"
"","","","","152000","152000","Herstellung von Schuhen"
"","16","","","","16","Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)"
"","","161","","","161","Säge-, Hobel- und Holzimprägnierwerke"
"","","","1610","","1610","Säge-, Hobel- und Holzimprägnierwerke"
"","","","","161001","161001","Sägewerke"
"","","","","161002","161002","Holzhobelwerke und Holzoberflächenbehandlung"
"","","","","161003","161003","Holzimprägnierwerke"
"","","162","","","162","Herstellung von sonstigen Holz-, Kork-, Flecht- und Korbwaren (ohne Möbel)"
"","","","1621","","1621","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten"
"","","","","162100","162100","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten"
"","","","1622","","1622","Herstellung von Parketttafeln"
"","","","","162200","162200","Herstellung von Parketttafeln"
"","","","1623","","1623","Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz"
"","","","","162301","162301","Bauschreinerei, Fenster und Türen"
"","","","","162302","162302","Schreinerarbeiten im Innenausbau"
