Section,Division,Group,Class,Type,Code,Name_en
"A","","","","","A","AGRICULTURE, FORESTRY AND FISHING"
"","","","1396","","1396","Manufacture of other technical and industrial textiles"
"","","","","139600","139600","Manufacture of other technical and industrial textiles"
"","","","1399","","1399","Manufacture of other textiles n.e.c."
"","","","","139901","139901","Embroidery"
"","","","","139902","139902","Manufacture of ribbons, belts, trimmings and tubes"
"","","","","139903","139903","Manufacture of various other textiles n.e.c."
"","14","","","","14","Manufacture of wearing apparel"
"","","141","","","141","Manufacture of wearing apparel, except fur apparel"
"","","","1411","","1411","Manufacture of leather clothes"
"","","","","141100","141100","Manufacture of leather clothes"
"","","","1412","","1412","Manufacture of workwear"
"","","","","141200","141200","Manufacture of workwear"
"","","","1413","","1413","Manufacture of other outerwear"
"","","","","141301","141301","Manufacture of men's and boys' outerwear"
"","","","","141302","141302","Manufacture of ladies' and girls' outerwear"
"","","","","141303","141303","Manufacture of non-specific outerwear"
"","","","1414","","1414","Manufacture of underwear"
"","","","","141401","141401","Manufacture of gents' and boys' underwear"
"","","","","141402","141402","Manufacture of ladies' and girls' underwear"
"","","","","141403","141403","Manufacture of non-specific underwear"
"","","","1419","","1419","Manufacture of other wearing apparel and accessories"
"","","","","141900","141900","Manufacture of other wearing apparel and accessories"
"","","142","","","142","Manufacture of articles of fur"
"","","","1420","","1420","Manufacture of articles of fur"
"","","","","142000","142000","Manufacture of articles of fur"
"","","143","","","143","Manufacture of knitted and crocheted apparel"
"","","","1431","","1431","Manufacture of knitted and crocheted hosiery"
"","","","","143100","143100","Manufacture of knitted and crocheted hosiery"
"","","","1439","","1439","Manufacture of other knitted and crocheted apparel"
"","","","","143900","143900","Manufacture of other knitted and crocheted apparel"
"","15","","","","15","Manufacture of leather and related products"
"","","151","","","151","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harnesses; dressing and dyeing of fur"
"","","","1511","","1511","Tanning and dressing of leather; dressing and dyeing of fur"
"","","","","151100","151100","Tanning and dressing of leather; dressing and dyeing of fur"
"","","","1512","","1512","Manufacture of luggage, handbags and the like, saddlery and harnesses"
"","","","","151200","151200","Manufacture of luggage, handbags and the like, saddlery and harnesses"
"","","152","","","152","Manufacture of footwear"
"","","","1520","","1520","Manufacture of footwear"
"","","","","152000","152000","Manufacture of footwear"
