Section,Division,Groupe,Classe,Genre,Code,Name_fr
"A","","","","","A","AGRICULTURE, SYLVICULTURE ET PÊCHE"
"","","161","","","161","Sciage et rabotage du bois"
"","","","1610","","1610","Sciage et rabotage du bois"
"","","","","161001","161001","Sciage du bois"
"","","","","161002","161002","Rabotage du bois et traitement de surface"
"","","","","161003","161003","Imprégnation du bois"
"","","162","","","162","Fabrication d'articles en bois, liège, vannerie et sparterie"
"","","","1621","","1621","Fabrication de placage et de panneaux de bois"
"","","","","162100","162100","Fabrication de placage et de panneaux de bois"
"","","","1622","","1622","Fabrication de parquets assemblés"
"","","","","162200","162200","Fabrication de parquets assemblés"
"","","","1623","","1623","Fabrication de charpentes et d'autres menuiseries"
"","","","","162301","162301","Menuiserie du bâtiment, fenêtres et portes"
"","","","","162302","162302","Menuiserie d'intérieur"
"","","","","162303","162303","Fabrication d'autres charpentes et menuiseries"
"","","","1624","","1624","Fabrication d'emballages en bois"
"","","","","162400","162400","Fabrication d'emballages en bois"
"","","","1629","","1629","Fabrication d'objets divers en bois; fabrication d'objets en liège, vannerie et sparterie"
"","","","","162900","162900","Fabrication d'objets divers en bois; fabrication d'objets en liège, vannerie et sparterie"
"","17","","","","17","Industrie du papier et du carton"
"","","171","","","171","Fabrication de pâte à papier, de papier et de carton"
"","","","1711","","1711","Fabrication de pâte à papier"
"","","","","171100","171100","Fabrication de pâte à papier"
"","","","1712","","1712","Fabrication de papier et de carton"
"","","","","171200","171200","Fabrication de papier et de carton"
"","","172","","","172","Fabrication d'articles en papier ou en carton"
"","","","1721","","1721","Fabrication de papier et carton ondulés et d'emballages en papier ou en carton"
"","","","","172100","172100","Fabrication de papier et carton ondulés et d'emballages en papier ou en carton"
"","","","1722","","1722","Fabrication d'articles en papier à usage sanitaire ou domestique"
"","","","","172200","172200","Fabrication d'articles en papier à usage sanitaire ou domestique"
"","","","1723","","1723","Fabrication d'articles de papeterie"
"","","","","172300","172300","Fabrication d'articles de papeterie"
"","","","1724","","1724","Fabrication de papiers peints"
"","","","","172400","172400","Fabrication de papiers peints"
"","","","1729","","1729","Fabrication d'autres articles en papier ou en carton"
"","","","","172900","172900","Fabrication d'autres articles en papier ou en carton"
"","18","","","","18","Imprimerie et reproduction d'enregistrements"
"","","181","","","181","Imprimerie et services annexes"
"","","","1811","","1811","Imprimerie de journaux"
"","","","","181100","181100","Imprimerie de journaux"
"","","","1812","","1812","Autre imprimerie (labeur)"
"","","","","181201","181201","Impression offset"
"","","","","181202","181202","Sérigraphie"
"","","","","181203","181203","Héliographie et reprographie"
"","","","","181204","181204","Autres impressions n.c.a."
"","","","1813","","1813","Activités de pré-presse"
"","","","","181301","181301","Activités de pré-presse"
"","","","","181302","181302","Autres activités d'impression n.c.a."
"","","","1814","","1814","Reliure et activités connexes"
"","","","","181400","181400","Reliure et activités connexes"
"","","182","","","182","Reproduction d'enregistrements"
"","","","1820","","1820","Reproduction d'enregistrements"
"","","","","182000","182000","Reproduction d'enregistrements"
"","19","","","","19","Cokéfaction et raffinage"
"","","191","","","191","Cokéfaction"
"","","","1910","","1910","Cokéfaction"
"","","","","191000","191000","Cokéfaction"
"","","192","","","192","Raffinage du pétrole"
"","","","1920","","1920","Raffinage du pétrole"
"","","","","192000","192000","Raffinage du pétrole"
"","20","","","","20","Industrie chimique"
"","","201","","","201","Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique"
"","","","2011","","2011","Fabrication de gaz industriels"
"","","","","201100","201100","Fabrication de gaz industriels"
"","","","2012","","2012","Fabrication de colorants et de pigments"
"","","","","201200","201200","Fabrication de colorants et de pigments"
"","","","2013","","2013","Fabrication d'autres produits chimiques inorganiques de base"
"","","","","201300","201300","Fabrication d'autres produits chimiques inorganiques de base"
"","","","2014","","2014","Fabrication d'autres produits chimiques organiques de base"
"","","","","201400","201400","Fabrication d'autres produits chimiques organiques de base"
"","","","2015","","2015","Fabrication de produits azotés et d'engrais"
"","","","","201500","201500","Fabrication de produits azotés et d'engrais"
"","","","2016","","2016","Fabrication de matières plastiques de base"
"","","","","201600","201600","Fabrication de matières plastiques de base"
"","","","2017","","2017","Fabrication de caoutchouc synthétique"
"","","","","201700","201700","Fabrication de caoutchouc synthétique"
"","","202","","","202","Fabrication de pesticides et d'autres produits agrochimiques"
"","","","2020","","2020","Fabrication de pesticides et d'autres produits agrochimiques"
"","","","","202000","202000","Fabrication de pesticides et d'autres produits agrochimiques"
"","","203","","","203","Fabrication de peintures, vernis, encres et mastics"
"","","","2030","","2030","Fabrication de peintures, vernis, encres et mastics"
"","","","","203000","203000","Fabrication de peintures, vernis, encres et mastics"
"","","204","","","204","Fabrication de savons, de produits d'entretien et de parfums"
"","","","2041","","2041","Fabrication de savons, détergents et produits d'entretien"
"","","","","204100","204100","Fabrication de savons, détergents et produits d'entretien"
"","","","2042","","2042","Fabrication de parfums et de produits pour la toilette"
"","","","","204200","204200","Fabrication de parfums et de produits pour la toilette"
"","","205","","","205","Fabrication d'autres produits chimiques"
"","","","2051","","2051","Fabrication de produits explosifs"
