Sezione,Divisione,Gruppo,,Genere,Code,Name_it
"A","","","","","A","AGRICOLTURA, SILVICOLTURA E PESCA"
"","","","1723","","1723","Fabbricazione di prodotti cartotecnici"
"","","","","172300","172300","Fabbricazione di prodotti cartotecnici"
"","","","1724","","1724","Fabbricazione di carta da parati"
"","","","","172400","172400","Fabbricazione di carta da parati"
"","","","1729","","1729","Fabbricazione di altri articoli di carta e cartone"
"","","","","172900","172900","Fabbricazione di altri articoli di carta e cartone"
"","18","","","","18","Stampa e riproduzione su supporti registrati"
"","","181","","","181","Stampa e servizi connessi alla stampa"
"","","","1811","","1811","Stampa di giornali"
"","","","","181100","181100","Stampa di giornali"
"","","","1812","","1812","Altra stampa"
"","","","","181201","181201","Stampa offset"
"","","","","181202","181202","Serigrafia"
"","","","","181203","181203","Eliografia e riprografia"
"","","","","181204","181204","Altre stampe n.c.a."
"","","","1813","","1813","Lavorazioni preliminari alla stampa e ai media"
"","","","","181301","181301","Attività preliminari alla stampa"
"","","","","181302","181302","Altre attività connesse alla stampa n.c.a."
"","","","1814","","1814","Rilegatura e servizi connessi"
"","","","","181400","181400","Rilegatura e servizi connessi"
"","","182","","","182","Riproduzione su supporti registrati"
"","","","1820","","1820","Riproduzione su supporti registrati"
"","","","","182000","182000","Riproduzione su supporti registrati"
"","19","","","","19","Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio"
"","","191","","","191","Fabbricazione di prodotti di cokeria"
"","","","1910","","1910","Fabbricazione di prodotti di cokeria"
"","","","","191000","191000","Fabbricazione di prodotti di cokeria"
"","","192","","","192","Fabbricazione di prodotti derivanti dalla raffinazione del petrolio"
"","","","1920","","1920","Fabbricazione di prodotti derivanti dalla raffinazione del petrolio"
"","","","","192000","192000","Fabbricazione di prodotti derivanti dalla raffinazione del petrolio"
"","20","","","","20","Fabbricazione di prodotti chimici"
"","","201","","","201","Fabbricazione di prodotti chimici di base, di fertilizzanti e di composti azotati, di materie plastiche e gomma sintetica in forme primarie"
"","","","2011","","2011","Fabbricazione di gas industriali"
"","","","","201100","201100","Fabbricazione di gas industriali"
"","","","2012","","2012","Fabbricazione di coloranti e pigmenti"
"","","","","201200","201200","Fabbricazione di coloranti e pigmenti"
"","","","2013","","2013","Fabbricazione di altri prodotti chimici di base inorganici"
"","","","","201300","201300","Fabbricazione di altri prodotti chimici di base inorganici"
"","","","2014","","2014","Fabbricazione di altri prodotti chimici di base organici"
"","","","","201400","201400","Fabbricazione di altri prodotti chimici di base organici"
"","","","2015","","2015","Fabbricazione di fertilizzanti e di composti azotati"
"","","","","201500","201500","Fabbricazione di fertilizzanti e di composti azotati"
"","","","2016","","2016","Fabbricazione di materie plastiche in forme primarie"
"","","","","201600","201600","Fabbricazione di materie plastiche in forme primarie"
"","","","2017","","2017","Fabbricazione di gomma sintetica in forme primarie"
"","","","","201700","201700","Fabbricazione di gomma sintetica in forme primarie"
"","","202","","","202","Fabbricazione di fitofarmaci e di altri prodotti chimici per l'agricoltura"
"","","","2020","","2020","Fabbricazione di fitofarmaci e di altri prodotti chimici per l'agricoltura"
